Outlier Number,name,gal_l,gal_b,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,hard_hm,hard_hs,nh_gal,acis_num,acis_time,likelihood,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_norm,brems_stat,SIMBAD Best Match,SIMBAD Object Type
16, 2CXO J033336.3-360825,237.95611,-54.598119999999994,0.71,0.71,94.0,43.76,0.872,0.8245,1.42,7,101930.8,39618.71,3.094e-12,-2.242,1.191e-06,2.13e-06,3.9939999999999998,8.565999999999999e-11,127.1,1071.0,2.116e-07,4.638,3.0649999999999996e-12,100.0,2937.0,0.005461,4.788,NGC 1365,Sy1
17, 2CXO J033846.0-352251,236.59696,-53.57966,0.78,0.75,24.8,11.95,0.8045,0.5746,1.46,2,73744.0,608.6534,7.996000000000002e-14,-0.316,4.853e-06,1.302e-06,1.883,6.871e-14,3.285,6.4820000000000025e-06,3.228e-07,1.992,7.047999999999997e-14,100.0,556.3,4.807e-05,2.98,2MASS J03384601-3522520,Sy2
18, 2CXO J041755.0-571331,267.43743,-43.04091,3.48,2.38,150.1,10.26,0.065,-0.3948,1.9,1,3986.2,310.1973,3.205e-13,1.999,4.391e-08,7.869e-05,0.401,1.621e-13,0.2846,2.962e-07,0.003065,1.625,2.617e-13,2.117,1.08e-07,0.0001149,0.6509999999999999,No object found.,
19, 2CXO J042340.7+040801,189.98726000000002,-30.03955,0.71,0.71,0.0,18.97,0.8045,0.5846,13.0,1,19081.9,1896.989,4.686e-13,-1.544,2.815e-06,1.058e-06,5.86,5.024e-13,41.49,3.085e-08,5.585e-08,6.09,5.041e-13,100.0,3459.0,0.001058,7.681,2MASX J04234080+0408017,Sy2
20, 2CXO J052723.0-124156,215.20429,-24.303739999999998,0.71,0.71,29.3,12.14,0.9294,0.9631,9.93,1,49382.7,1014.4939999999999,7.354e-14,-0.271,219.8,1.748e-06,2.799,6.443e-14,3.804,177.1,2.945e-07,2.7439999999999998,7.811000000000001e-14,100.0,790.3,6.167e-05,3.366,LEDA 948925,G
21, 2CXO J053517.9-052055,208.97507,-19.35989,0.71,0.71,94.1,16.79,0.9482,0.9532,19.46,11,955890.1,1205.861,1.123e-14,-0.732,133.0,1.1900000000000001e-07,1.63,9.481000000000001e-15,9.699,116.9,1.042e-08,1.625,1.137e-14,100.0,872.8,9.279e-06,2.336,V* V2314 Ori B,Y*O
22, 2CXO J054332.9-273905,232.13832999999997,-26.21502000000001,0.73,0.72,118.2,12.12,0.777,0.6508,2.23,1,5023.1,990.463,7.869e-13,-1.347,6.005e-06,2.602e-06,3.862,1.861e-12,58.04,0.2328,7.531e-08,4.058,8.386e-13,100.0,2940.0,0.001517,6.2829999999999995,ESO 424-12,Sy2
23, 2CXO J054522.3+090412,197.10917,-10.25127,0.71,0.71,95.1,14.96,0.862,0.7595,23.09,1,98867.6,1408.2079999999999,5.039e-14,-0.57,3.666e-06,5.508e-07,2.9589999999999996,4.453e-14,4.423,6.632e-06,1.176e-07,2.947,4.711e-14,100.0,483.1,3.028e-05,4.024,V* FU Ori,Or*
24, 2CXO J065212.3+742537,140.32746,26.10676,0.71,0.71,0.0,70.25,0.7108,0.6508,6.38,1,74054.5,27881.14,1.34e-12,-0.155,2.911e-07,2.721e-05,3.036,1.4099999999999998e-12,3.846,2.7870000000000003e-07,4.2389999999999996e-06,4.1530000000000005,6.349e-13,100.0,35.9,0.0002365000000000001,7.888,IC 450,Sy1
25, 2CXO J071746.4+375627,180.07622,21.151770000000006,1.18,0.93,19.7,10.19,0.8795,0.7033,6.19,2,164495.5,288.9248,6.533e-14,-2.696,2.109e-05,1.981e-08,2.525,4.3010000000000004e-14,129.0,1386.0,4.368e-09,2.8819999999999997,5.668e-14,100.0,3698.0,0.0001274,3.265,LEDA 2113590,G
